position,feature
1,nq_bar_ret
2,nq_range
3,nq_close_loc
4,nq_ret1
5,nq_ret2
6,nq_ret5
7,nq_ret15
8,nq_ret30
9,nq_ret60
10,nq_rv5
11,nq_rv15
12,nq_rv60
13,nq_rs15
14,nq_rs60
15,nq_rv5_over_60
16,nq_rs15_over_60
17,tod_sin
18,tod_cos
19,dow_2
20,dow_3
21,dow_4
22,dow_5
23,dow_7
24,season_spring
25,season_summer
26,season_autumn
27,nq_rsi14
28,nq_macd
29,nq_macd_signal
30,nq_macd_hist
31,nq_bb_pctB
32,nq_bb_width
33,nq_vwap20_dist
34,nq_ema20_dist
35,nq_ema60_dist
36,nq_ema20_60_spread
37,nq_adx14
38,nq_di_spread14
39,nq_donchian20_pos
40,nq_breakout20_up
41,nq_breakout20_down
42,nq_vol_rel15
43,nq_vol_rel60
44,asia_session
45,london_session
46,us_rth_session
47,london_us_overlap
48,us_last60
49,us_last30
50,minutes_to_us_close
51,last_rth_known
52,rth_gap_known
53,opening30_known
54,nq_rth_to_now
55,nq_rth_vwap_dist
56,nq_rth_position
57,nq_last_rth_ret
58,nq_last_rth_range
59,nq_rth_gap
60,nq_open30_ret
61,nq_open30_green
62,nq_open30_range
63,nq_open30_vol_rel20
64,nq_prevclose_to_1000
